speed,timestamp
0.0,1693738484.89
0.0,1693738484.952
0.0,1693738485.015
0.0,1693738485.078
0.0,1693738485.141
0.0,1693738485.203
0.0,1693738485.266
0.0,1693738485.329
0.0,1693738485.392
0.0,1693738485.454
0.0,1693738485.521
0.0,1693738485.584
0.0,1693738485.647
0.0,1693738485.709
0.0,1693738485.772
0.0,1693738485.835
0.0,1693738485.898
0.0,1693738485.96
0.0,1693738486.023
0.0,1693738486.109
0.0,1693738486.149
0.0,1693738486.211
0.0,1693738486.274
0.0,1693738486.337
0.0,1693738486.4
0.0,1693738486.462
0.0,1693738486.529
0.0,1693738486.592
0.0,1693738486.654
0.0,1693738486.717
0.0,1693738486.78
0.0,1693738486.843
0.0,1693738486.905
0.0,1693738486.968
0.0,1693738487.031
0.0,1693738487.109
0.0,1693738487.156
0.0,1693738487.219
0.0,1693738487.282
0.0,1693738487.345
0.0,1693738487.407
0.0,1693738487.47
0.0,1693738487.537
0.0,1693738487.6
0.0,1693738487.662
0.0,1693738487.725
0.0,1693738487.788
0.0,1693738487.85
0.0,1693738487.913
0.0,1693738487.976
0.0,1693738488.039
0.0,1693738488.109
0.0,1693738488.164
0.0,1693738488.227
0.0,1693738488.29
0.0,1693738488.352
0.0,1693738488.415
0.0,1693738488.478
0.0,1693738488.545
0.0,1693738488.607
0.0,1693738488.67
0.0,1693738488.733
0.0,1693738488.796
0.0,1693738488.858
0.0,1693738488.921
0.0,1693738488.984
0.0,1693738489.047
0.0,1693738489.109
0.0,1693738489.172
0.0,1693738489.235
0.0,1693738489.298
0.0,1693738489.36
0.0,1693738489.423
0.0,1693738489.486
0.0,1693738489.552
0.0,1693738489.615
0.0,1693738489.678
0.0,1693738489.741
0.0,1693738489.803
0.0,1693738489.866
0.0,1693738489.929
0.0,1693738489.992
0.0,1693738490.054
0.0,1693738490.117
0.0,1693738490.18
0.0,1693738490.243
0.0,1693738490.305
0.0,1693738490.368
0.0,1693738490.431
0.0,1693738490.494
0.0,1693738490.56
0.0,1693738490.623
0.0,1693738490.686
0.0,1693738490.749
0.0,1693738490.811
0.0,1693738490.874
0.0,1693738490.937
0.0,1693738490.1
0.0,1693738491.062
0.0,1693738491.125
0.0,1693738491.188
0.0,1693738491.25
0.0,1693738491.313
0.0,1693738491.376
0.0,1693738491.439
0.0,1693738491.501
0.0,1693738491.568
0.0,1693738491.631
0.0,1693738491.694
0.0,1693738491.756
0.0,1693738491.819
0.0,1693738491.882
0.0,1693738491.945
0.0,1693738492.003
0.0,1693738492.07
0.0,1693738492.133
0.0,1693738492.196
0.0,1693738492.258
0.0,1693738492.321
0.0,1693738492.384
0.0,1693738492.447
0.0,1693738492.509
0.0,1693738492.576
0.0,1693738492.639
0.0,1693738492.701
0.0,1693738492.764
0.0,1693738492.827
0.0,1693738492.89
0.0,1693738492.952
0.0,1693738493.011
0.0,1693738493.078
0.0,1693738493.141
0.0,1693738493.203
0.0,1693738493.266
0.0,1693738493.329
0.0,1693738493.392
0.0,1693738493.454
0.0,1693738493.517
0.0,1693738493.584
0.0,1693738493.647
0.0,1693738493.709
0.0,1693738493.772
0.0,1693738493.835
0.0,1693738493.898
0.0,1693738493.96
0.0,1693738494.019
0.0,1693738494.086
0.0,1693738494.149
0.0,1693738494.211
0.0,1693738494.274
0.0,1693738494.337
0.0,1693738494.4
0.0,1693738494.462
0.0,1693738494.525
0.0,1693738494.592
0.0,1693738494.654
0.0,1693738494.717
0.0,1693738494.78
0.0,1693738494.843
0.0,1693738494.905
0.0,1693738494.968
0.0,1693738495.027
0.0,1693738495.117
0.0,1693738495.156
0.0,1693738495.219
0.0,1693738495.282
0.0,1693738495.345
0.0,1693738495.407
0.0,1693738495.47
0.0,1693738495.533
0.0,1693738495.6
0.0,1693738495.662
0.0,1693738495.725
0.0,1693738495.788
0.0,1693738495.85
0.0,1693738495.913
0.0,1693738495.976
0.0,1693738496.035
0.0,1693738496.164
0.0,1693738496.227
0.0,1693738496.29
0.0,1693738496.352
0.0,1693738496.415
0.0,1693738496.478
0.0,1693738496.541
0.0,1693738496.607
0.0,1693738496.67
0.0,1693738496.733
0.0,1693738496.796
0.0,1693738496.858
0.0,1693738496.921
0.0,1693738496.984
0.0,1693738497.043
0.0,1693738497.172
0.0,1693738497.235
0.0,1693738497.298
0.0,1693738497.36
0.0,1693738497.423
0.0,1693738497.486
0.0,1693738497.549
0.0,1693738497.615
0.0,1693738497.678
0.0,1693738497.741
0.0,1693738497.803
0.0,1693738497.866
0.0,1693738497.929
0.0,1693738497.992
0.0,1693738498.05
0.0,1693738498.121
0.0,1693738498.18
0.0,1693738498.243
0.0,1693738498.305
0.0,1693738498.368
0.0,1693738498.431
0.0,1693738498.494
0.0,1693738498.556
0.0,1693738498.623
0.0,1693738498.686
0.0,1693738498.749
0.0,1693738498.811
0.0,1693738498.874
0.0,1693738498.937
0.0,1693738498.1
0.0,1693738499.058
0.0,1693738499.125
0.0,1693738499.188
0.0,1693738499.25
0.0,1693738499.313
0.0,1693738499.376
0.0,1693738499.439
0.0,1693738499.501
0.0,1693738499.564
0.0,1693738499.631
0.0,1693738499.694
0.0,1693738499.756
0.0,1693738499.819
0.0,1693738499.882
0.0,1693738499.945
0.0,1693738500.003
0.0,1693738500.066
0.0,1693738500.133
0.0,1693738500.196
0.0,1693738500.258
0.0,1693738500.321
0.0,1693738500.384
0.0,1693738500.447
0.0,1693738500.509
0.0,1693738500.572
0.0,1693738500.639
0.0,1693738500.701
0.0,1693738500.764
0.0,1693738500.827
0.0,1693738500.89
0.0,1693738500.952
0.0,1693738501.011
0.0,1693738501.074
0.0,1693738501.141
0.0,1693738501.203
0.0,1693738501.266
0.0,1693738501.329
0.0,1693738501.392
0.0,1693738501.454
0.0,1693738501.517
0.0,1693738501.58
0.0,1693738501.647
0.0,1693738501.709
0.0,1693738501.772
0.0,1693738501.835
0.0,1693738501.898
0.0,1693738501.96
0.0,1693738502.019
0.0,1693738502.082
0.0,1693738502.149
0.0,1693738502.211
0.0,1693738502.274
0.0,1693738502.337
0.0,1693738502.4
0.0,1693738502.462
0.0,1693738502.525
0.0,1693738502.588
0.0,1693738502.654
0.0,1693738502.717
0.0,1693738502.78
0.0,1693738502.843
0.0,1693738502.905
0.0,1693738502.968
0.0,1693738503.027
0.0,1693738503.09
0.0,1693738503.156
0.0,1693738503.219
0.0,1693738503.282
0.0,1693738503.345
0.0,1693738503.407
0.0,1693738503.47
0.0,1693738503.533
0.0,1693738503.596
0.0,1693738503.662
0.0,1693738503.725
0.0,1693738503.788
0.0,1693738503.85
0.0,1693738503.913
0.0,1693738503.976
0.0,1693738504.035
0.0,1693738504.121
0.0,1693738504.164
0.0,1693738504.227
0.0,1693738504.29
0.0,1693738504.352
