longitude,latitude,altitude,altitudeSmoothed,inclination,inclinationSmooth,inclinationSmoothed,distance,cumDistance,maxSpeed,theta,timeAtMaxSpeed,cumTimeAtMaxSpeed,cumTimeAtMaxSpeedLim
130.842666,-12.465516,39,38.8071686626408,0,-0.00546307853408022,-0.00228276125555718,10.1898978278881,0,40,238.429853364736,0.917090804509928,0.917090804509928,0.917090804509928
130.842586,-12.465564,39,38.7514736170166,0,-0.00300906123443299,-0.00279594824671093,11.0940814543706,10.1947082031898,40,258.424284670589,0.998467330893352,1.91555813540328,1.91555813540328
130.842486,-12.465584,39,38.7181247503912,0.0405439750521398,-0.00316552629895154,-0.00317653439771432,6.13183551512462,21.2774889694215,40,352.916034014568,0.551865196361216,2.4674233317645,2.4674233317645
130.842479,-12.465529,39.25,38.6986162897605,0,-0.00325150202439003,-0.00339610967712057,2.98689230533637,27.4402542180625,40,79.2610529560765,0.268820307480273,2.73624363924477,2.73624363924477
130.842506,-12.465524,39.25,38.6889146044523,0,-0.00761946022268315,-0.00350452539735451,7.87241685615122,30.4239986677812,40,78.5830327855079,0.70851751705361,3.44476115629838,3.44476115629838
130.842577,-12.46551,39.25,38.6289913911676,0,-0.00785509001416853,-0.00397907497604125,8.55991980229973,38.2883423209322,40,67.8609934354507,0.770392782206976,4.21515393850535,4.21515393850535
130.84265,-12.465481,39.25,38.5617759967086,0,-0.00440583781548519,-0.00444066027651031,5.48863330611557,46.8450885683752,40,58.2321766137382,0.493976997550401,4.70913093605576,4.70913093605576
130.842693,-12.465455,39.25,38.5375819197998,0.0142796512871546,-0.0069064816620253,-0.00467608956869741,17.4861858978048,52.336421062853,40,51.9668149362808,1.57375673080244,6.28288766685819,6.28288766685819
130.84282,-12.465358,39.5,38.4166734694933,0.0201052667060676,-0.00857410339735385,-0.00561878473607691,12.4081213995141,69.8426614024756,40,44.3166651562904,1.11673092595627,7.39961859281446,7.39961859281446
130.8429,-12.465278,39.75,38.3100700816989,0,-0.00629567079397955,-0.00638304316459482,2.40397140037404,82.2755386978063,40,46.1651697758511,0.216357426033664,7.61597601884812,7.61597601884812
130.842916,-12.465263,39.75,38.2949082056608,0,-0.00645426610411896,-0.00651152021807709,5.11835075331191,84.6838087960576,40,44.3166679844701,0.460651567798071,8.07662758664619,8.07662758664619
130.842949,-12.46523,39.75,38.2618066384273,-0.00824870306926087,-0.0108139692295407,-0.00679020202781971,60.4925284044459,89.8123713707597,40,44.1698686619603,5.44432755640013,13.5209551430463,13.5209551430463
130.843338,-12.464839,39.25,37.6063008323347,0,-0.0115310449696638,-0.0110248483690019,3.19212995495768,150.426586183276,40,40.1402449628142,0.287291695946191,13.8082468389925,13.8082468389925
130.843357,-12.464817,39.25,37.5694000258791,-0.0470522055640245,-0.0122577405717592,-0.0112716871355687,15.8967578494161,153.626571183155,40,44.5961710351176,1.43070820644745,15.23895504544,15.23895504544
130.84346,-12.464715,38.5,37.3741492388152,0,-0.0130897228466748,-0.0125548626860609,5.2734576289371,169.554548029234,40,44.3167287022086,0.474611186604339,15.7135662320443,15.7135662320443
130.843494,-12.464681,38.5,37.3049794673385,-0.0171128152164543,-0.0159599282859143,-0.0130008939973457,43.7362597756469,174.838527048964,40,44.519908035973,3.93626337980822,19.6498296118525,19.6498296118525
130.843777,-12.4644,37.75,36.6055157081615,-0.0127168970240517,-0.0222233512873423,-0.0170613137092633,19.6191778467065,218.661052856313,40,44.5431999152935,1.76572600620358,21.4155556180561,21.4155556180561
130.843904,-12.464274,37.5,36.1685810472981,0,-0.0204233784071294,-0.0191103300471099,4.26735741487308,238.318876833295,40,43.2758969889704,0.384062167338577,21.7996177853947,21.7996177853947
130.843931,-12.464246,37.5,36.081231004416,-0.0299831242056519,-0.0247865064520007,-0.0195706196359943,33.2742194973082,242.595245601323,40,43.9163273434895,2.99467975475774,24.7942975401524,24.7942975401524
130.844144,-12.46403,36.5,35.2546275453952,0,-0.0291941532157239,-0.0234100214126348,37.1556964695053,275.937345397296,40,43.7191012798804,3.34401268225548,28.1383102224079,28.1383102224079
130.844381,-12.463788,36.5,34.1673526985554,-0.0250741165493191,-0.0301033757861827,-0.0278213783563782,9.94552933621438,313.169661299218,40,41.6368138174286,0.895097640259294,29.0334078626672,29.0334078626672
130.844442,-12.463721,36.25,33.8671809912599,-0.0307278002448979,-0.036060390586593,-0.0290219312217176,113.634328278246,323.138012714598,40,43.8087908119237,10.2270895450422,39.2604974077094,39.2604974077094
130.845168,-12.462982,32.75,29.7592930737338,-0.0668563600653376,-0.0370991047004601,-0.0404346128500808,11.1770721352208,437.005531338635,40,42.7272902752685,1.00593649216987,40.2664338998792,40.2664338998792
130.845238,-12.462908,32,29.3435418531862,-0.0674369100477275,-0.0392831030036255,-0.041196570400178,25.8362006000843,448.206892329944,40,36.2163478495973,2.32525805400758,42.5916919538868,42.5916919538868
130.845379,-12.46272,30.25,28.3251601312754,-0.0842879049157524,-0.0364242434169555,-0.0426481093894496,20.665789484765,474.117722877046,40,41.737448011186,1.85992105362885,44.4516130075157,44.4516130075157
130.845506,-12.462581,28.5,27.5703716409775,-0.0935888970469352,-0.0379020440426081,-0.0434234248047943,10.6311105410857,494.830703873959,40,43.06352896965,0.956799948697714,45.4084129562134,45.4084129562134
130.845573,-12.462511,27.5,27.1663768542921,-0.0773792262161624,-0.0397369065891645,-0.0437860810266194,25.7447516930328,505.484517499043,40,44.6620963759235,2.31702765237295,47.7254406085863,47.7254406085863
